ID,Year of Study,Acquired Skills
19739,4.0,"Dynamic Structures, Static Structures, Java, Security, Probability"
14268,5.0,"Dynamic Structures, Statistics"
19799,1.0,"Dynamic Structures, Java, Compilation, Python, Algorithmic"
10004,3.0,"Algorithmic, C++, Security, Java"
11828,2.0,"Security, Dynamic Structures, Web Development"
11249,4.0,Design
11092,1.0,Design
19092,3.0,"Python, Algorithmic, Security, Mathematics, Design"
18369,5.0,"Static Structures, Web Development, Statistics, Dynamic Structures"
15072,3.0,"Statistics, Robotics, Algorithmic, Dynamic Structures, Java"
13185,5.0,
15808,3.0,"Compilation, Statistics, Static Structures, Dynamic Structures"
15860,1.0,"Software Engineering, Security"
17654,5.0,Java
19070,5.0,"Java, Python"
11773,2.0,Mathematics
10194,5.0,Probability
14794,1.0,"Python, Java"
11660,4.0,"Mathematics, Compilation, Design, Python"
13100,5.0,"Software Engineering, Dynamic Structures, Web Development"
12069,1.0,Dynamic Structures
13608,2.0,"Robotics, Web Development"
18258,1.0,"Compilation, Web Development"
16116,5.0,"Robotics, C++, Dynamic Structures, Web Development, Static Structures"
11873,5.0,"Web Development, Static Structures, Java, Statistics"
16376,4.0,"Algorithmic, Statistics"
15924,4.0,"Software Engineering, Mathematics, Java, Probability"
15294,4.0,"Security, Design, Static Structures, Mathematics, Probability"
17187,3.0,"Static Structures, Mathematics, Python, Software Engineering, Compilation"
17627,4.0,"Software Engineering, Security, C++"
12644,2.0,"Robotics, Algorithmic, Python, C++"
16363,4.0,"Statistics, Design"
16783,1.0,"Design, Java, Compilation, Probability"
10105,1.0,
12476,3.0,
13099,,"Statistics, Design, Probability, Python"
14476,4.0,"Statistics, Software Engineering, Static Structures, Security"
12738,1.0,"Web Development, C++"
15810,5.0,Statistics
13920,4.0,"Design, Probability, Compilation, Static Structures"
19912,1.0,"Probability, Python, Java, Algorithmic"
16397,3.0,"Probability, Dynamic Structures, Software Engineering, Design"
10736,4.0,"Java, Algorithmic, Static Structures, Mathematics, C++"
13358,4.0,
15521,1.0,"Security, Design, Probability, Compilation"
17925,2.0,"Mathematics, Static Structures, Web Development, C++"
16263,1.0,"Java, Security, Statistics"
10056,2.0,"Design, Software Engineering, Compilation, Statistics, Java"
15328,1.0,Java
11343,4.0,"Web Development, Static Structures, Compilation, Python"
10279,,Design
13644,3.0,"Design, Web Development, Algorithmic"
15174,5.0,
15182,1.0,"Static Structures, Web Development, Robotics, Compilation, Mathematics"
19944,2.0,"C++, Dynamic Structures, Probability, Static Structures, Compilation"
18717,2.0,"Design, Python, Algorithmic"
19536,1.0,"C++, Algorithmic, Design"
14486,2.0,Web Development
19760,3.0,"Robotics, Algorithmic, Dynamic Structures, Statistics"
12997,2.0,"Security, Probability, C++"
17720,1.0,"Compilation, Web Development, Design"
13804,3.0,"Software Engineering, Algorithmic, Security, Probability"
15962,5.0,"Static Structures, Web Development, Probability, Python, Dynamic Structures"
19870,3.0,"Web Development, Static Structures, Compilation"
10446,1.0,"Probability, Java, Design"
17901,1.0,"Software Engineering, Statistics, Dynamic Structures"
13837,4.0,"Security, Probability, Python, Design, C++"
11154,,"Statistics, Robotics, Dynamic Structures"
16423,3.0,C++
15957,2.0,Probability
15157,1.0,"Web Development, Statistics"
19807,1.0,"Algorithmic, Robotics, Python, Design"
12689,,"Statistics, Design, Robotics, Mathematics, Web Development"
15239,,"Python, Probability, Mathematics, Robotics"
17504,1.0,
17446,3.0,"C++, Compilation, Mathematics, Dynamic Structures, Statistics"
12176,2.0,"Robotics, Statistics"
18885,4.0,"Java, Python, Static Structures"
16209,5.0,"Static Structures, Algorithmic, Web Development"
18523,1.0,"Probability, Python, Web Development"
11645,3.0,"Statistics, Robotics, Static Structures, Algorithmic, C++"
12586,,"Compilation, Web Development, Robotics, Design"
11031,1.0,"Python, Mathematics"
18351,4.0,"Statistics, Python, Java"
14871,4.0,"Web Development, Algorithmic, Mathematics"
15074,3.0,
11854,4.0,Web Development
15130,,"Statistics, Static Structures, C++, Mathematics, Compilation"
17146,3.0,"Security, Python"
10263,,
12902,3.0,"Web Development, Statistics"
11603,5.0,"Dynamic Structures, C++, Java"
12408,5.0,"Statistics, Robotics, Probability, Python, Java"
16735,5.0,"Security, Web Development"
17911,5.0,"Design, Security, Mathematics, Statistics"
12651,4.0,Algorithmic
17376,1.0,"Design, Security, Algorithmic, Dynamic Structures, Mathematics"
12861,4.0,"Compilation, Dynamic Structures"
14481,2.0,"Statistics, C++"
11737,2.0,Compilation
18845,2.0,Probability
19960,4.0,"Algorithmic, Python"
14937,4.0,"Python, Security, Probability, Algorithmic"
10777,4.0,"Compilation, Design, Java"
15302,3.0,"Web Development, Software Engineering, Dynamic Structures, Statistics"
16226,2.0,"Dynamic Structures, Software Engineering"
19706,1.0,"Web Development, Robotics, Mathematics"
16484,5.0,"Mathematics, C++, Security"
12010,4.0,"Web Development, Design, Static Structures"
17377,2.0,"Probability, Design, Security, Static Structures"
11760,2.0,"Static Structures, Mathematics, Probability, Dynamic Structures, Compilation"
19612,,Algorithmic
12274,4.0,"Algorithmic, Dynamic Structures, Security, Static Structures, Statistics"
14737,4.0,"C++, Web Development, Robotics, Compilation"
14600,5.0,"Software Engineering, Statistics"
18074,4.0,Web Development
15536,5.0,"Python, Robotics"
12466,4.0,"Static Structures, Design, Algorithmic, Python"
18518,4.0,"Robotics, Dynamic Structures, Design"
13416,2.0,"Static Structures, Design, Java, Compilation, Web Development"
17931,4.0,"Algorithmic, Web Development, Compilation"
19197,1.0,"Compilation, Security"
11187,4.0,Software Engineering
13831,1.0,"Statistics, C++, Mathematics"
13779,2.0,"Algorithmic, Robotics, Security, Design"
10441,5.0,"Security, Java"
16496,4.0,
11788,3.0,"Statistics, Design, Java, C++"
16476,3.0,"Python, Robotics, Static Structures"
18622,3.0,"Mathematics, Dynamic Structures, Python"
11822,5.0,Security
16312,5.0,Robotics
17999,5.0,"Python, Dynamic Structures"
18638,2.0,"Python, Static Structures, C++, Design, Robotics"
12402,2.0,Dynamic Structures
13879,4.0,
17007,5.0,"Java, Robotics"
17167,2.0,"Python, Dynamic Structures, Software Engineering"
10914,5.0,Robotics
14317,5.0,"Python, Dynamic Structures"
11061,2.0,"Software Engineering, Mathematics"
14161,3.0,Software Engineering
17260,5.0,"Robotics, Mathematics"
13368,3.0,"Design, Probability, Dynamic Structures, Mathematics, Java"
16315,5.0,"Java, Python, Dynamic Structures"
11084,1.0,Robotics
14559,2.0,"Design, Security"
10018,2.0,"Dynamic Structures, Static Structures, Statistics, C++, Python"
10524,5.0,"Compilation, Security, Design, Dynamic Structures"
19554,4.0,"Java, Python, Compilation, Robotics, Algorithmic"
14948,4.0,"Probability, C++"
14599,5.0,"Software Engineering, Statistics, Probability, Design"
14895,4.0,"Static Structures, Dynamic Structures, Statistics, Probability"
10418,2.0,"Dynamic Structures, Compilation"
15065,4.0,"Algorithmic, Probability"
17305,5.0,"Mathematics, Java, Python"
13204,2.0,"Statistics, Mathematics, Web Development"
16897,3.0,"Algorithmic, C++, Java"
12356,4.0,"C++, Statistics, Probability"
16284,3.0,Python
18663,,"Mathematics, Compilation"
11864,2.0,"Design, Probability, Static Structures, Algorithmic"
15471,5.0,"Python, Java"
18328,5.0,"Design, Statistics"
16786,5.0,"Python, Web Development, Probability, Mathematics, Static Structures"
14868,4.0,Software Engineering
14346,2.0,"Statistics, Dynamic Structures"
18098,1.0,Web Development
10379,2.0,"Python, Algorithmic, Static Structures, Dynamic Structures, Software Engineering"
18511,1.0,"Dynamic Structures, Robotics, Algorithmic"
12411,2.0,"Java, C++, Algorithmic, Design, Python"
15187,5.0,"Algorithmic, Robotics, Mathematics, Software Engineering"
11943,5.0,Design
14233,1.0,Security
13201,4.0,Java
16481,1.0,Python
14216,4.0,Python
14003,3.0,"Probability, Software Engineering"
19017,5.0,"Robotics, Probability, Static Structures, Design"
18965,1.0,"Web Development, Python, Software Engineering, Design, Robotics"
16427,3.0,"Software Engineering, Design, Probability"
19550,4.0,Statistics
15440,4.0,"C++, Python, Java, Web Development, Robotics"
17100,2.0,"Java, Static Structures"
13454,2.0,"Algorithmic, Security, Software Engineering, Web Development"
10586,1.0,Robotics
15000,1.0,"Python, Java, Statistics, Static Structures"
10143,4.0,Algorithmic
18837,1.0,"Static Structures, Design, Web Development, Algorithmic, Probability"
10704,3.0,"Mathematics, Web Development, Probability, Software Engineering, Statistics"
16911,1.0,Statistics
17965,4.0,"Algorithmic, Web Development, Statistics, C++, Python"
14126,4.0,Web Development
13316,4.0,C++
15060,3.0,"Software Engineering, Web Development, Compilation, Design"
19967,4.0,"Python, Software Engineering, Robotics, Static Structures, Mathematics"
13662,,"Probability, Web Development, Compilation, Static Structures, Java"
17876,1.0,Probability
19688,3.0,"Python, C++, Probability"
12389,4.0,"Design, Algorithmic, Mathematics"
11798,4.0,"Python, Design, Statistics, Software Engineering"
13140,2.0,Static Structures
18819,1.0,"Statistics, Java"
16452,5.0,"Python, Security, C++, Probability, Java"
19921,1.0,"Mathematics, Algorithmic, Dynamic Structures, Web Development"
11379,3.0,"Security, Python, Statistics, Design"
19661,1.0,"Probability, Design, Mathematics, Web Development, Software Engineering"
15002,4.0,"Software Engineering, Statistics"
15233,4.0,"Mathematics, Dynamic Structures, Design"
10625,5.0,"Python, Compilation"
18111,1.0,"Compilation, Mathematics, Security, Algorithmic, Java"
16466,5.0,Statistics
18293,1.0,"Design, Robotics"
16051,5.0,"Mathematics, Web Development"
18816,4.0,"Mathematics, Security, Dynamic Structures"
16781,1.0,"Software Engineering, Dynamic Structures"
16889,4.0,"Python, Design, Probability, Mathematics"
18599,4.0,"Software Engineering, Algorithmic"
19266,4.0,"Design, Mathematics, Security, Web Development, Python"
13936,3.0,Java
17529,5.0,"Mathematics, Security, C++, Statistics"
13981,3.0,"Dynamic Structures, Python, Java, Compilation"
11105,3.0,"Static Structures, Security"
16823,2.0,"C++, Dynamic Structures"
15103,4.0,"Robotics, Statistics, C++"
11367,3.0,"Algorithmic, Mathematics"
15673,2.0,"Algorithmic, Java, Software Engineering"
10672,3.0,"Static Structures, Web Development"
15760,3.0,Design
14037,2.0,"Software Engineering, Java"
18866,2.0,
17134,3.0,"Robotics, Security, Java, Python"
14274,1.0,"Robotics, Design, Dynamic Structures, C++, Mathematics"
14582,3.0,"Security, Compilation, Java, Probability, Algorithmic"
13726,5.0,"Probability, Algorithmic, Design"
19534,2.0,Design
16954,3.0,Mathematics
18619,1.0,
14573,4.0,"Web Development, Statistics, Software Engineering, Probability"
17253,5.0,"Security, Java, Probability, Python, Compilation"
12048,5.0,"Probability, Algorithmic, Python"
11942,3.0,"C++, Dynamic Structures, Python, Robotics, Security"
12393,5.0,"Security, Robotics, Dynamic Structures, Python"
17674,2.0,C++
14747,1.0,"Mathematics, Algorithmic, Java, Robotics, Compilation"
12221,3.0,"Algorithmic, Statistics, Dynamic Structures, Static Structures"
15257,4.0,Mathematics
13973,1.0,"Web Development, Static Structures, C++"
17291,5.0,
12574,4.0,"Web Development, Robotics, Probability, Software Engineering"
12837,5.0,"Design, Software Engineering, Dynamic Structures"
17713,5.0,"Compilation, Software Engineering, Security, Design"
10963,5.0,Probability
17074,1.0,"Robotics, Security, Algorithmic, Web Development"
14046,5.0,"Web Development, Robotics, Design, Python"
16627,1.0,"Static Structures, Mathematics, Java"
14660,4.0,Dynamic Structures
13698,4.0,"Design, Probability, Compilation"
18567,4.0,"Dynamic Structures, Software Engineering, Algorithmic, Python"
12243,1.0,"Design, Python, Web Development, Security"
16641,5.0,"Robotics, Java, Software Engineering"
10085,,"Probability, Web Development, Static Structures"
18476,5.0,"Compilation, Security, Python, Probability"
15300,2.0,"Design, Mathematics"
12606,2.0,Static Structures
18125,2.0,"Dynamic Structures, Design, Software Engineering, Statistics, Python"
15823,1.0,"Robotics, Security, Software Engineering, Algorithmic"
12276,3.0,Statistics
19074,2.0,"Python, Web Development, Design, Software Engineering"
15529,1.0,"Static Structures, Design, Security"
15003,5.0,"Robotics, Web Development, Python, Dynamic Structures"
11966,4.0,
16826,3.0,
19707,3.0,
19532,3.0,"Software Engineering, Python"
17343,1.0,"Dynamic Structures, Compilation"
10057,5.0,"Security, Probability"
13468,2.0,"Probability, Software Engineering, Design, Robotics, Java"
12026,2.0,"Java, Security, Design"
12835,5.0,"Static Structures, Design, Dynamic Structures"
18683,5.0,"Algorithmic, C++, Static Structures"
16400,4.0,"Mathematics, Robotics, C++"
15477,5.0,"Compilation, Probability"
14729,2.0,"Web Development, Probability"
16948,1.0,"Security, Static Structures"
14656,1.0,
14657,2.0,"Mathematics, C++, Algorithmic"
10283,5.0,"Probability, Dynamic Structures, Python, Java"
13217,3.0,Probability
12186,5.0,"Robotics, Mathematics, Web Development, C++, Compilation"
16998,2.0,Python
18677,2.0,Python
19896,2.0,Design
13721,2.0,"Security, Algorithmic, Mathematics, Dynamic Structures, Robotics"
14786,4.0,"Java, Statistics, Dynamic Structures, Algorithmic"
11506,2.0,"Algorithmic, Robotics, Dynamic Structures, Mathematics"
12166,2.0,Mathematics
17169,4.0,Compilation
18496,1.0,"Probability, Compilation"
12013,2.0,"Compilation, Design"
16545,2.0,"Java, Probability, Mathematics"
17826,5.0,Design
13521,4.0,Design
18332,2.0,"Python, Dynamic Structures, C++, Security, Algorithmic"
11912,3.0,Mathematics
16210,3.0,Static Structures
17811,4.0,"Security, Compilation, Python, Mathematics, Design"
12800,5.0,"Compilation, Probability, Python, Mathematics"
12073,3.0,"Software Engineering, Statistics"
13085,4.0,Static Structures
15991,5.0,Probability
19730,3.0,"Python, Mathematics"
16730,5.0,Compilation
12675,2.0,"Algorithmic, Statistics"
19601,,"Robotics, Mathematics, Java, Compilation, C++"
12951,5.0,"Compilation, Software Engineering, Web Development, Robotics, C++"
16582,1.0,"Static Structures, Algorithmic, Probability, Statistics, C++"
10362,2.0,"Static Structures, Probability"
18977,4.0,"Robotics, Compilation, Probability, Algorithmic"
11320,2.0,"Java, Python"
15351,5.0,"Robotics, Static Structures, Design, C++"
15901,5.0,"Design, Statistics"
11740,1.0,"Dynamic Structures, Design, Algorithmic, Software Engineering"
13821,5.0,"Mathematics, Security, Design"
10246,2.0,Robotics
14093,,"Mathematics, Static Structures"
16274,2.0,"C++, Security, Software Engineering, Python"
12537,5.0,"Software Engineering, Security, Algorithmic, Probability"
18565,1.0,"Java, Dynamic Structures"
19417,4.0,
14652,1.0,"C++, Java, Software Engineering, Dynamic Structures"
19519,4.0,Algorithmic
19893,4.0,"Mathematics, Dynamic Structures, Design"
13839,4.0,"C++, Compilation, Security, Software Engineering"
13649,1.0,"Probability, Algorithmic"
12973,2.0,"Python, Statistics, Compilation, Design"
18679,3.0,"C++, Algorithmic"
16969,2.0,"Algorithmic, Statistics, Python, C++, Robotics"
18585,5.0,"Statistics, Robotics, Dynamic Structures, Mathematics, Probability"
19997,2.0,"Mathematics, Compilation"
16573,2.0,"C++, Mathematics, Web Development"
11842,4.0,"Mathematics, Statistics, C++, Dynamic Structures, Static Structures"
11433,3.0,"Dynamic Structures, Static Structures"
13954,1.0,Web Development
14883,5.0,"Compilation, Python, Java"
10604,5.0,
10385,5.0,
11134,3.0,"Compilation, Robotics, Software Engineering, Java, C++"
12372,3.0,"Java, C++, Web Development, Algorithmic"
13840,4.0,"Security, Java, Static Structures"
15973,3.0,"Software Engineering, Python, Statistics"
14828,1.0,"Robotics, Python, Design, C++"
13562,2.0,Algorithmic
10873,1.0,"Python, Robotics, Probability, Design, Security"
14769,5.0,"Probability, Dynamic Structures"
14672,1.0,"Statistics, Mathematics, Web Development, Design, Probability"
12853,2.0,"Compilation, Statistics, Java, Static Structures, C++"
13327,1.0,"Design, Python, Probability, C++"
13385,1.0,"Robotics, Design, Python, Security"
14492,2.0,"C++, Mathematics, Probability"
15531,5.0,C++
11993,2.0,"Static Structures, Java, Mathematics, C++, Security"
10882,,"Python, Design, Web Development"
16351,1.0,"Java, Probability, Software Engineering, Python"
15442,3.0,"Compilation, Probability, Security, Software Engineering, Design"
19505,5.0,"Security, Dynamic Structures, Design, C++, Software Engineering"
16109,4.0,"Web Development, Compilation, Probability"
10718,2.0,"Probability, Web Development"
10740,3.0,"Algorithmic, Software Engineering, Compilation, Web Development"
15284,5.0,"Python, Mathematics, Compilation, Security"
15873,1.0,"Dynamic Structures, Algorithmic, Python"
17240,2.0,"Mathematics, Probability, Algorithmic"
10042,1.0,Algorithmic
13859,3.0,Security
19588,3.0,"Java, Python, Dynamic Structures"
17123,2.0,"Static Structures, Mathematics, Python, Security"
11274,1.0,"Security, Mathematics, Static Structures"
15527,2.0,"Probability, Design, Dynamic Structures"
16813,4.0,"Software Engineering, Statistics, Python"
16434,4.0,"Web Development, Probability, Software Engineering"
11088,4.0,"Statistics, Dynamic Structures"
16365,4.0,"Static Structures, Java, C++"
13218,5.0,"Mathematics, Static Structures"
11194,5.0,"Robotics, Design, Dynamic Structures, Compilation"
11028,2.0,Web Development
17081,2.0,Compilation
10992,1.0,Java
11391,2.0,"Probability, Robotics"
11622,4.0,"Security, Probability"
16134,5.0,"Web Development, Robotics, Static Structures, Probability, Software Engineering"
13487,5.0,"C++, Security"
12703,1.0,"Static Structures, Software Engineering, Probability"
13480,1.0,"Python, Statistics, Robotics"
16540,5.0,"Algorithmic, Dynamic Structures"
13403,3.0,"Static Structures, Compilation, C++, Security, Java"
11680,,"C++, Mathematics"
14655,1.0,"Mathematics, Design, Compilation, Robotics"
15915,2.0,"Compilation, Probability, Robotics, Static Structures"
16232,4.0,"Web Development, Algorithmic, Compilation"
16022,4.0,
15178,3.0,"Compilation, Python"
18803,4.0,"Java, Mathematics, Compilation, Algorithmic, Statistics"
19830,5.0,"Python, Statistics, Design"
14971,3.0,"Mathematics, Java"
18692,4.0,"Dynamic Structures, Static Structures, Web Development"
19878,3.0,"Algorithmic, Robotics, Design"
19859,1.0,Compilation
18102,1.0,
13344,4.0,"Dynamic Structures, Software Engineering"
16000,3.0,Statistics
16655,3.0,"Statistics, C++"
10120,2.0,"Algorithmic, Compilation, Security, Design, Software Engineering"
14699,2.0,"C++, Mathematics, Statistics"
14281,5.0,"Algorithmic, Static Structures, Mathematics"
19483,,Compilation
17029,2.0,Web Development
11598,3.0,"Compilation, Python"
10462,2.0,"Dynamic Structures, C++, Static Structures, Design, Algorithmic"
18505,4.0,"Mathematics, Design, Security, Robotics"
12067,4.0,"Software Engineering, Dynamic Structures, Algorithmic, Mathematics, Static Structures"
11670,1.0,"C++, Algorithmic, Web Development, Mathematics"
11985,2.0,Statistics
18895,1.0,"Compilation, Static Structures, Dynamic Structures, Java, Algorithmic"
19917,5.0,Design
15265,4.0,"Compilation, Security, Statistics, Software Engineering"
10053,1.0,"C++, Algorithmic"
19849,3.0,Robotics
10183,1.0,Statistics
12549,2.0,"Mathematics, Dynamic Structures"
17288,3.0,Statistics
18869,4.0,"Software Engineering, Algorithmic, Web Development, Dynamic Structures"
13705,5.0,"Web Development, Mathematics"
14130,3.0,"Java, Design, Web Development, Robotics"
15191,3.0,"Mathematics, Statistics"
13707,1.0,"Probability, Dynamic Structures, Robotics"
10335,1.0,"Mathematics, Probability, Robotics"
16461,3.0,Web Development
11516,,"Web Development, Algorithmic, Probability"
19431,5.0,"Security, Algorithmic"
19784,5.0,Compilation
14808,4.0,"Design, Probability, Java, Mathematics"
10147,5.0,"Java, Software Engineering"
14359,5.0,"Python, Security"
18430,,
11503,,"Statistics, Probability"
13301,,"Software Engineering, Java, Statistics"
10832,5.0,"Java, Probability, Security, Compilation, Design"
14886,4.0,"Algorithmic, Robotics, C++, Security, Software Engineering"
14621,4.0,Security
12983,,"Dynamic Structures, Probability"
19223,1.0,"Robotics, Mathematics, Python, Static Structures, Software Engineering"
19395,4.0,"Dynamic Structures, Python, Statistics, Static Structures, Design"
12438,3.0,Security
14519,2.0,Python
10197,5.0,Robotics
16884,2.0,"Robotics, Software Engineering, Web Development, Python"
16857,,"Algorithmic, Dynamic Structures"
18748,4.0,
12751,2.0,
17799,1.0,"Statistics, Security, Python, Robotics, Design"
14483,2.0,"Design, Security, Robotics"
17988,4.0,"Robotics, Python"
15368,4.0,"Python, Software Engineering, Algorithmic"
10983,5.0,"Algorithmic, Web Development"
15460,4.0,"Security, Compilation, Web Development"
12366,1.0,Probability
18093,5.0,"Dynamic Structures, Static Structures"
16127,3.0,"Web Development, Robotics, Software Engineering, Dynamic Structures, C++"
19646,4.0,"Robotics, Compilation, Mathematics"
13112,1.0,"Statistics, Java, Algorithmic, C++, Web Development"
17757,3.0,"Python, C++, Dynamic Structures, Web Development"
10135,4.0,Algorithmic
14825,1.0,"Design, Java, C++, Dynamic Structures"
14306,4.0,"Static Structures, C++, Security, Algorithmic, Web Development"
12761,4.0,"Probability, C++"
12211,3.0,"Static Structures, Java, Design"
13164,1.0,"Dynamic Structures, Software Engineering, Web Development"
18891,4.0,"Robotics, C++, Mathematics, Dynamic Structures"
18980,5.0,"Algorithmic, Statistics, Design, Dynamic Structures"
18902,5.0,"Dynamic Structures, Statistics, C++, Python"
13775,3.0,Software Engineering
17670,1.0,"Python, Design, Statistics, Static Structures, Software Engineering"
11709,5.0,"Probability, Java"
12170,3.0,"Java, Design, Statistics"
12051,2.0,"Statistics, Software Engineering, Robotics"
14298,4.0,"Static Structures, C++, Software Engineering, Compilation, Web Development"
19524,3.0,"Robotics, Compilation, Statistics, Static Structures, Algorithmic"
10924,1.0,"Static Structures, Security"
14442,2.0,"Algorithmic, Static Structures"
11708,3.0,"Compilation, Dynamic Structures, Algorithmic, Robotics, Software Engineering"
10059,4.0,"Algorithmic, C++, Probability, Web Development, Compilation"
16978,2.0,Design
11848,2.0,
16962,3.0,"Web Development, C++, Probability, Robotics"
10192,4.0,"Probability, Compilation, Web Development"
10700,4.0,"Statistics, Static Structures"
13625,5.0,"Security, Algorithmic"
12430,5.0,"Mathematics, Security"
18533,2.0,"C++, Statistics"
12050,1.0,"Java, C++, Algorithmic"
10683,3.0,"Statistics, Algorithmic, Python, Probability, Mathematics"
15338,,"C++, Mathematics, Design, Robotics"
17617,5.0,"Dynamic Structures, C++, Mathematics, Software Engineering"
16845,4.0,"Probability, Security"
18485,2.0,"Probability, Python, Dynamic Structures, Algorithmic"
14402,2.0,"Compilation, Statistics, Security"
13050,,"Python, Statistics"
15610,4.0,"Python, Dynamic Structures, Java, Compilation, Statistics"
11802,4.0,"Python, Dynamic Structures, Statistics"
11733,5.0,
12727,3.0,"Dynamic Structures, C++"
16878,4.0,"Probability, Statistics"
11744,3.0,"Software Engineering, Static Structures, Design"
15633,4.0,"Dynamic Structures, Probability, Statistics, C++"
16530,4.0,"Robotics, Compilation, Static Structures, Design, Software Engineering"
19134,2.0,"Static Structures, Dynamic Structures, Robotics, Java"
18637,3.0,"Algorithmic, Java, Probability, Software Engineering"
10630,2.0,Algorithmic
19276,1.0,"Algorithmic, C++, Probability, Static Structures, Design"
11310,2.0,"Static Structures, Compilation, Dynamic Structures, Probability, Software Engineering"
12415,5.0,"Static Structures, Compilation, Robotics, Probability"
14457,3.0,"Security, Algorithmic"
17828,2.0,"Mathematics, Java, Statistics, Web Development, Static Structures"
11037,1.0,"Algorithmic, Design"
18159,2.0,Statistics
11715,,"Robotics, Compilation"
17488,1.0,"Static Structures, Java, Probability, Dynamic Structures, Statistics"
11793,5.0,"C++, Design, Statistics, Robotics, Java"
15649,2.0,"Software Engineering, Algorithmic"
19606,1.0,"Statistics, Algorithmic, Python"
19194,3.0,"Static Structures, Mathematics, C++, Probability, Java"
12497,3.0,"Web Development, Dynamic Structures, C++, Robotics, Software Engineering"
18527,3.0,"C++, Design"
17203,3.0,"Compilation, Algorithmic, Design, Robotics"
11122,2.0,"Static Structures, Design, Probability, Python"
15705,1.0,"Statistics, Compilation"
10584,2.0,"Python, C++, Mathematics"
19363,4.0,"Robotics, Python, Compilation, C++, Algorithmic"
15147,3.0,"Probability, Statistics"
18964,1.0,"Robotics, Algorithmic"
18662,4.0,"Compilation, Design, Statistics, Software Engineering, Mathematics"
14584,1.0,"Security, Robotics, Python, Mathematics, C++"
14157,5.0,"Algorithmic, Mathematics"
11473,5.0,"Probability, C++"
17378,4.0,Dynamic Structures
11497,2.0,"Security, Statistics, Algorithmic"
13581,2.0,"Probability, Mathematics, Python, C++, Algorithmic"
12080,2.0,"Mathematics, Web Development, Robotics, Java"
10090,3.0,"Mathematics, Python"
13823,4.0,"Software Engineering, Compilation, Security"
19340,3.0,"Statistics, Python, Mathematics, Dynamic Structures, C++"
19157,4.0,"Algorithmic, Java, Mathematics, Dynamic Structures"
10624,,"Python, Statistics"
19093,3.0,"Software Engineering, Robotics, Algorithmic, Statistics, Web Development"
13503,3.0,Software Engineering
15412,5.0,"Statistics, Web Development"
12754,1.0,"Design, Mathematics, Static Structures"
12498,5.0,"Web Development, Dynamic Structures"
17447,1.0,"Statistics, Probability, Web Development, Algorithmic, Java"
17523,3.0,"Java, Security, Design"
15510,1.0,"Dynamic Structures, Static Structures"
